City,Province,LAT,LONG
Tacloban,Leyte,11.244,125.002
Ormoc,Leyte,11.0064,124.6075
Roxas,Capiz,11.5853,122.7508
Borongan,Eastern Samar,11.6081,125.4312
Guiuan,Eastern Samar,11.0336,125.7248
Kalibo,Aklan,11.7065,122.3643
Iloilo City,Iloilo,10.7202,122.5621
Catbalogan,Samar,11.7753,124.8865
Cebu City,Cebu,10.3157,123.8854
Cadiz,Negros Occidental,10.9465,123.2884 
